review,review_time,review_mark,review_location,review_user,review_goodpart,review_badpart
"Сделал ставку на белорусский баскетбол, 83000 по кеф 1,85. Ставка сыграла. Мне сразу блокернули карту. Позвонил в службу поддержки, мне сказали что проверка продлиться в течении 2х дней. Короче, через месяц мне разблокировали карту и...",18.04.2015,1,"Россия, Москва",Аноним497060,Всеми способами не дают выиграть хорошую сумму,Нельзя выиграть
"Позвал меня друг играть. Сделала ставку 70.000 рублей на Берселона-ПСЖ. Выигрыш составил 417.300 рублей. КАРТУ СРАЗУ ЗАБЛОКИРОВАЛИ! Написала претензию, в конторе говорили что не волнуйтесь, заявки рассматривают быстро пару недель и вам дадут ответ! ХРЕН...",22.05.2015,1,"Россия, Москва",krimanna2010,Нету,Не доброжелательные менеджеры!
"Выиграл в этой конторе 350 т. р они меня заблокировали, сказали что проверка продлиться сутки после чего мне дадут ответ. запросили паспортные данные. после этого они прислали мне ответ вот с таким содержанием... Уважаемый Максим...",03.10.2016,1,"Россия, Новосибирск",ruslan1992,если и есть какие то плюсы ...то от них толку 0.если вам в конечном итоге выигранные вами деньги не отдадут,больше 20т.р. не отдадут
"Главная проблема букмекерских контор в чем? В том, что случись чего, концов не найдешь. Париматч в Украине, Зенит в Белоруссии, Леон вообще за границей. У некоторых контор даже адреса и телефона обратной связи нет. Так...",13.04.2019,1,"Россия, Активный",champion-maks,официальная организация,весь букмекерский бизнес это зло
"Доброго времени суток! В этом отзыве я расскажу вам о своих впечатлениях, а также достоинствах и недостатках букмекерской конторы Лига ставок. Я играю на тотализаторе уже не первый год, и успел поиграть на многих конторах...",23.12.2013,5,"Россия, Химки",Kaachey,Частые хорошие бонусы.,Коэффиценты ниже среднего.
"Всем привет, сегодня расскажу о компании лига ставок, с другими букмейкерами не взаимодействовала, так как лига ставок самая территориально удобная для меня контора. Читала много отзывов люди говорят, что есть компании у которых коэффециенты повыше...",28.06.2018,5,"Россия, Москва",Михриниса,"удобно, быстро, неплохие коэффециенты",всегда можно проиграть
"Я поставил 500р на футбольный матч касива-чонбук, что касива забьёт следующий гол, счёт был 1-0 в её пользу, зашёл в личный кабинет, проверил-всё так и пошёл обедать, прихожу счёт 2-0, обрадовался, ведь коф. был 2,37...",22.04.2015,1,"Россия, Ростов",Багор,не выявлено,всё очень плохо
"Чуть больше года назад мы узнали, что есть такая букмекерская контора, как ""Лига ставок"", а мы любители иногда посетить казино на отдыхе, в пределах разумного конечно, да и потом увидели их рекламу повсюду, и на...",11.12.2018,5,"Россия, Москва",Elenka0417,Неплохое развлечение на досуге .,"Можно чересчур увлечься и проиграть все, осторожность превыше всего."
"Всем привет! После появления шальной суммы денег имел глупость связаться со ставками на спорт и как говориться одна глупость порождает другую, а именно связался с этой ""букмекерской конторой"". Всё шло гладко, но не долго... Буквально...",15.08.2013,1,"Россия, Омск",den55113,работающая служба поддержки клиентов,"мутность в работе и мнительность, что их обманывают"
"Доброе время суток, друзья. В общей сложности в БК ""Лига Ставок"" играл и оставлял деньги около четырех лет. Все пытался выиграть большие деньги. Почему я игра именно там? Мне нравилось салоны, в них качественная мебель...",23.08.2019,3,"Россия, Иваново",Budanov-78,Хорошие салоны.,Пустая трата времени.
"Иногда позволяю себе поиграть на ставках на спорт у букмекеров, деньги ставлю небольшие, поэтому особо ничем не рискую, ну и умею останавливаться вовремя, поэтому ничего плохого в игре на ставках не вижу, иногда можно, если...",30.08.2018,4,"Россия, Всеволожск",Эдпитер,"широкая сеть пунктов приема ставок, неплохая средняя роспись событий, часто дарят фрибеты","коэффициенты средне-низкие, интернет-версия совсем неудачная с плохой росписью"
Здравствуйте дорогие друзья! Любите азартных игр! Хочу немного рассказать про букмекерскую контору лигу ставок! Я не буду долго рассусоливаться! Скажу честно я там играл не долго. Но за небольшой промежуток времени я ни разу ни...,16.02.2019,5,"Россия, Пенза",tankist 78,Нет обмана!,не нашел
"Приветствую и доброго времени суток Дамы и Господа! В настоящее время, я ставлю ставки на спортивные события в двух букмекерских конторах ""Леон"" и ""Лига ставок"". Первый является онлайн-букмекером, но не имеет своих Пунктов приема ставок...",05.10.2018,4,"Россия, Санкт",mars547,Приличная сеть клубов. Регистрационный фрибет. Несложная процедура регистрации для игры.,Низкие кэфы. Есть риски не получить крупные выйгрыши.
"Букмекерская контора ""Лига ставок"" у метро ""бульвар маршала рокоссовского"" поразила меня своей лояльностью. Поделюсь своим впечатлением о неожиданном предложении, поступившем от этой компании. Пришёл в пункт приёма ставок и за пять минут, при наличии паспорта...",28.07.2019,5,"Россия, Москва",afonja286,Подарки всегда приятны,Переживал за исход спортивных состязаний
"Иногда поигрываю на ставках. Для души. Суммы мизерные, так что особо не парюсь, если проигрываю. Однако Лига ставок иной раз не даёт и выигрышу порадоваться, отменяя эту ставку. А ведь самое интересное, что, по сути...",02.04.2018,1,"Россия, Волгоград",igoroldin,Довольно удобное приложение,"Высокая маржа БК, отмена выигрышных ставок со ссылкой на ошибку"
"Около 5 лет я увлекаюсь спортивными событиями и ставками, и после проб множества контор, пришел к выводу, что Лига ставок является лучшей в своем роде. Контора имеет множество плюсов, главным которая является хорошая и стабильная...",28.06.2019,5,"Россия, Пенза",Diminho7,"Стабильность, акции, фрибеты",Нет
"Случилось со мной такое происшествие. В начале марта, находясь в Химках в Лиге ставок по адресу : Химки, Молодежная 9 - у меня украли телефон. В клубе было три человека - напротив меня сидел охранник...",14.03.2019,1,"Россия, Москва",sterch3112,Бесплатный кулер с водой из под крана,В 15 слов не уложусь
"Я вообще начинал свой путь в ставках именно с этой букмекерской конторы – с Лиги Ставок. Совсем уже чего-то плохого про неё сказать не могу, хотя бы в силу того, что я не ставил в...",18.12.2017,3,"Россия, Наро",yurij5665,Работает в легальное поле,"Маленькие коэффициенты, нет почти бонусов, проблемы с выплатой крупных сумм"
"Моментально рассчитывают проигрыши - 0, а расчет выигрыша растягивают на час и более. Большинство жалуются на невыплату выигрыша. Советую пользоваться другими честными букмекерскими сайтами. Также постоянно меняют коэффициенты до матча. Часто нерабочая страница (неполадки на...",23.06.2018,1,"Россия, Салават",Аноним1823565,Нет,"долгий расчёт, невыплата выигрыша, нерабочая страница, ""технические неполадки"", отключение возможности поставить до матча, постоянное изменение коэффициентов до начала матча."
"Здесь я зарегистрировался где-то в начале 2018 года. До настоящего времени уже больше 100 ставок мной сделано. История хорошая получается. Если говорить о плюсах, то по сравнению с другими очень удобно было проходить верификацию: зарегистрировался...",21.09.2018,2,"Россия, МО",i744061,Простая верификация,Отменяют события или рассчитывают с коэф 1
